nomor_polisi,merk,jenis,tahun,cc,ppm
G 4028 ZV,Honda,Beat fi,2020,110,29.255
H 2419 ATW,Yamaha,Lexi,2019,125,116.06
AA 4209 LB,Honda,Vario,2021,125,57.016
K 6385 RW,Honda,Scoopy,2022,110,26.866
H 6505 KH,Yamaha,Mio,2015,125,76.949
H 4323 CA,Honda,Beat fi,2013,110,27.352
H 5205 VF,Honda,Beat,2012,110,53.027
H 2587 AQ,Honda,Beat,2012,110,43.72
H 3038 KF,Honda,Beat Streets,2023,110,24.612
H 4366 NP,Honda,Beat fi,2019,110,41.97
K 2773 EH,Honda,Vario,2019,125,51.09
G 3307 XC,Honda,Beat fi,2022,110,32.731
H 4622 ATD,Yamaha,Mio,2017,125,82.672
H 3175 AUG,Honda,Vario,2015,125,97.587
H 3557 AF,Yamaha,Mio M3,2022,125,31.523
H 5459 AFH,Yamaha,Fino,2023,125,22.673
H 4419 GH,Yamaha,Gear 125,2020,125,38.739
G 2454 V,Yamaha,Gear 125,2020,125,43.825
H 6241 EN,Yamaha,lexi,2018,125,57.582
H 8875 QR,Yamaha,Soul GT,2016,113,53.251
