nomor_polisi,merk,jenis,tahun,cc,ppm
G 4028 ZV,Honda,Beat fi,2020,110,29.26
H 2419 ATW,Yamaha,Lexi,2019,125,116.06
AA 4209 LB,Honda,Vario,2021,125,57.02
K 6385 RW,Honda,Scoopy,2022,110,26.87
H 6505 KH,Yamaha,Mio,2015,125,76.95
H 4323 CA,Honda,Beat fi,2013,110,27.35
H 5205 VF,Honda,Beat,2012,110,53.03
H 2587 AQ,Honda,Beat,2012,110,43.72
H 3038 KF,Honda,Beat Streets,2023,110,24.61
H 4366 NP,Honda,Beat fi,2019,110,41.97
K 2773 EH,Honda,Vario,2019,125,51.09
G 3307 XC,Honda,Beat fi,2022,110,32.73
H 4622 ATD,Yamaha,Mio,2017,125,82.67
H 3175 AUG,Honda,Vario,2015,125,97.59
H 3557 AF,Yamaha,Mio M3,2022,125,31.52
H 5459 AFH,Yamaha,Fino,2023,125,22.67
H 4419 GH,Yamaha,Gear 125,2020,125,38.74
G 2454 V,Yamaha,Gear 125,2020,125,43.82
H 6241 EN,Yamaha,lexi,2018,125,57.58
H 8875 QR,Yamaha,Soul GT,2016,113,53.25
